airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
07IN,N,,,,S,,,,1860,80,TURF,0
07K,15,41.1164,-98.0533,,33,41.1067,-98.0494,,3700,60,CONC-E,0
07KS,18,,,,36,,,,2000,45,TURF,0
07KY,11,,,,29,,,,2000,100,TURF,0
07LS,H1,,,,,,,,50,50,CONC,0
07MA,H1,,,,,,,,120,60,TURF,0
07MD,17,,,,35,,,,1000,70,TURF,0
07ME,H1,,,,,,,,900,200,TURF,0
07MN,E,,,,W,,,,2600,50,TURF,0
07MO,17,,,,35,,,,2700,40,TURF-GRVL-F,0
07MT,10,48.4303,-106.552,120.0,28,48.4118,-106.504,300.0,13500,300,CONC-G,0
07N,16,,,,34,,,,2200,100,TURF-F,0
07NC,08,,,,26,,,,2000,50,TURF,0
07NJ,H1,,,,,,,,45,45,ASPH,0
07NY,H1,,,,,,,,50,50,ASPH,0
07OK,17,,,,35,,,,2400,80,TURF,0
07OR,17,,,,35,,,,1200,100,TURF,0
07PN,09,,,,27,,,,2000,100,TURF,0
07PR,H1,,,,,,,,45,45,CON,0
07TA,06,,,,24,,,,2204,125,TURF,0
07TA,H1,,,,H1,,,,200,200,CONC-TURF,0
07TS,17,,,,35,,,,2500,75,TURF,0
07TX,H1,,,,,,,,400,50,TURF,0
07VA,16,,,,34,,,,1600,50,TURF,0
07VT,05,,,,23,,,,526,20,TURF,0
07VT,14,,,,32,,,,595,20,TURF,0
07WA,H1,,,,,,,,53,53,CONC,0
07WY,13,,,,31,,,,2200,50,Turf,0
07XA,H1,,,,-,,,,37,37,CON,0
07XS,H1,,,,,,,,30,30,CONC,0
07Y,16,46.9595,-93.5993,,34,46.9521,-93.5956,,2902,150,TURF-G,0
08AK,01,,,,19,,,,1200,80,GRVL,0
08AN,7,,,90.0,25,,,270.0,1300,50,GVL,0
08AZ,H1,,,,,,,,42,42,CONC,0
08B,14,44.0017,-69.89,,32,43.9983,-69.8843,,1935,100,TURF-G,0
08CA,H1,,,,,,,,60,60,ASPH,0
08CL,E,,,,W,,,,2000,50,DIRT,0
08CN,H1,,,,,,,334.0,50,50,CONC,0
08CO,09,,,,27,,,,2600,75,TURF,0
08F,18,,,,36,,,,3862,40,CON,0
08FA,09,,,,27,,,,3165,80,TURF,0
08FD,18,,,,36,,,,4138,104,TURF,0
08FL,03,,,,21,,,,2500,100,TURF,0
08GA,03,,,,21,,,,5000,150,TURF,0
08GE,H1,,,,,,,,50,50,CON,0
08ID,NW,,,,SE,,,,2500,60,GRAVEL,0
08II,H1,,,,,,,,30,30,CONC,0
08IS,18,,,,36,,,,1320,70,TURF,0
08KS,17,,,,35,,,,2500,70,GRAVEL,0
08KT,H1,,,,,,,,40,40,CON,0
08KY,09,,,,27,,,,2500,60,TURF-G,0
08LA,H1,,,,,,,,30,15,TURF,0
08LL,18,,,,36,,,,2190,100,TURF-G,0
08LS,18,,,,36,,,,2000,60,TURF,0
08MA,04,,,,22,,,,1000,18,ASPH,0
08MD,H1,,,,,,,,45,45,MATS,0
08ME,13,,,,31,,,,3200,90,TURF-F,0
08MI,H1,,,,,,,,60,60,ROOF-TOP,0
08MO,03,,,,21,,,,2640,50,TURF,0
08MO,18,,,,36,,,,2140,48,TURF,0
08MS,07,34.6605,-89.8742,70.0,25,34.664,-89.8625,,3725,50,ASPH-TURF,0
08MT,07,,,,25,,,,2600,80,DIRT,0
08N,07,,,,25,,,,2692,120,TURF-G,0
08NC,18,,,,36,,,190.0,3200,50,TURF,0
08ND,17,,,,35,,,,1300,75,TURF,0
08NE,11,,,,29,,,,3000,100,TURF-G,0
08NH,H1,,,,,,,,80,80,CONC,0
08NJ,H1,,,,,,,,90,90,ASPH,0
08NR,2,,,,20,,,,1400,40,Turf,0
08NY,01,,,,19,,,,550,60,TURF,0
08NY,10,,,,28,,,,500,40,TURF,0
08OH,E,,,,W,,,,3000,50,TURF,0
08OK,08,,,,26,,,,1800,50,TURF,0
08OL,18,,,,36,,,,1029,40,Turf,0
08OR,18,,,,36,,,,2800,20,GRVL,0
08PA,H1,,,,,,,,200,150,TURF,0
08PN,H1,,,,,,,,50,50,ASPH,0
08R,11,41.4899,-71.6245,,29,41.4891,-71.6168,,2129,30,ASPH-P,0
08SD,H1,,,,,,,,42,42,CON,0
08TA,H1,,,,,,,,200,100,TURF,0
08TT,4,,,,22,,,,2015,75,CON,0
08TX,09,,,,27,,,,2100,30,TURF,0
08TX,18,,,,36,,,,1800,100,TURF,0
08U,01,,,,19,,,,3600,50,DIRT-F,0
08UT,10,38.3393,-109.1424,,28,38.3307,-109.128,,5200,50,Dirt,0
08VA,09,,,,27,,,,1200,50,TURF,0
08XS,03,,,,21,,,,2350,100,TURF,0
09AA,H1,,,,H1,,,,22,24,Deck,0
09AK,06,,,,24,,,,1300,60,TURF,0
09AR,H1,,,,,,,,135,100,ASPH,0
09AZ,06,,,,24,,,,2350,80,DIRT,0
09CA,H1,,,,,,,,65,65,ASPH,0
09CL,01,39.11,-121.059,26.0,19,39.1175,-121.054,,2834,50,ASPH-F,0
09CN,H2,,,,,,,,50,50,CONC,0
09CO,09,,,,27,,,,3200,50,TURF,0
09FA,18,27.2522,-81.4131,180.0,36,27.2389,-81.4131,,4800,50,ASPH-E,0
09FD,18,,,,36,,,,2649,100,TURF,0
09FL,H1,,,,,,,,46,46,Turf,0
09GA,09,,,,27,,,,2400,70,TURF,0
09IA,09,,,,27,,,,2700,80,ASPH-TURF,0
09ID,09,,,,27,,,,2300,100,TURF,0
09II,E,,,,W,,,,1600,100,TURF,0
09IN,09,,,,27,,,,2200,70,TURF,0
09IN,18,,,,36,,,,2200,50,TURF,0
09IS,H1,,,,,,,,39,31,CONC,0
09KS,17,,,,35,,,,2500,60,TURF,0
09KY,H1,,,,,,,,50,50,CONC,0
09LA,H1,,,,,,,,50,50,CONC,0
09LL,17,,,,35,,,,2300,80,TURF,0
09LS,H1,,,,,,,,40,40,CONC,0
09MA,09,,,,27,,,,1700,50,TURF,0
09MA,15,,,,33,,,,2000,100,TURF,0
09MD,H1,,,,,,,,40,40,Concrete/Turf,0
09ME,04,,,,22,,,,2000,100,TURF,0
